P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Titanium	K22	216_II	3.9096988479342154	4.622434440948453e-05	0.03321678321678322	112783.0	434.0	14599.0	555.0	145.5	92.0	2.0	0.0	21.0	21.0	0.0	15.0	2.5	1.0	0.0
Titanium	K22	SP1777	4.305858156197209	8.32298369979334e-06	0.03488372093023256	112716.0	444.0	14537.5	582.0	147.0	103.0	1.0	1.0	22.0	26.0	0.0	17.5	2.0	1.0	0.0
Titanium	K22	B589	4.0549254950997415	2.508787318378225e-05	0.07534246575342467	112952.0	253.0	15007.5	273.0	59.0	100.0	3.0	1.0	25.0	24.0	0.0	17.5	2.0	1.0	0.0
Titanium	K22	Cooper	3.6261590359564115	0.00014386943132582708	0.03079416531604538	112840.0	446.0	14566.5	602.0	147.0	101.0	4.0	1.0	23.0	26.0	0.0	17.5	2.0	1.0	0.0
216_II	K22	B589	7.621419610472107	1.2656542480726785e-14	0.7864271457085827	113376.5	210.5	14665.0	145.0	38.0	402.0	38.0	3.0	432.0	150.0	2.0	123.0	21.0	0.0	0.0
216_II	Cooper	K22	4.233077520750928	1.1533295983690017e-05	0.8210526315789474	113816.0	14745.0	161.0	101.0	32.0	160.0	50.0	35.0	284.0	536.0	114.0	1.0	3.0	0.0	0.0
216_II	Cooper	B589	6.05019053766356	7.260547718601629e-10	0.948019801980198	131079.0	360.0	272.0	44.0	0.0	265.0	2.0	0.0	768.0	241.0	3.0	2.0	0.0	2.0	0.0
SP1777	K22	B589	7.868165402395424	1.7763568394002505e-15	0.8025594149908593	113311.0	224.0	14609.0	141.0	41.0	422.0	33.0	3.0	472.0	155.0	1.0	127.0	19.0	1.0	0.0
SP1777	Cooper	B589	6.13028090686897	4.403357678484099e-10	0.9456264775413712	130986.0	366.0	260.0	50.0	0.0	309.0	4.0	0.0	804.0	237.0	3.0	6.0	0.0	3.0	0.0
B589	K22	Cooper	5.102559632292272	1.6783736556114093e-07	0.1416666666666667	113462.0	399.0	14671.0	469.0	118.0	202.0	57.0	3.0	125.0	174.0	0.0	31.0	30.0	0.0	0.0
