Position in alignment,BHV5 - BHV5,BHV5 - C33,BHV5 - C46,BHV5 - Titanium_IBR_MLV_vaccine,BHV5 - 216_II,BHV5 - K22,BHV5 - B589,BHV5 - Cooper
100,0,0,0,0,0,48.5,14.5,0
200,0,0,0,0,0,34,30,0
300,0,0,0,0,0,26.5,39.5,0
400,0,0,0,0,0,27.5,38.5,0
500,0,0,0,0,0,26,39,0
600,0,0,0,0,0,32.5,28.5,0
700,0,0,0,0,0,0.5,48.5,0
800,0,0,0,0,0,1.5,34.5,0
900,0,0,0,0,0,31,45,0
1000,0,0,0,0,0,35.5,40.5,0
1100,0,0,0,0,0,57.5,30.5,0
1200,0,0,0,0,0,56.5,15.5,0
1300,0,0,0,0,0,49.5,11.5,0
1400,0,0,0,0,0,37,19,0
1500,0,0.400000005960464,0.400000005960464,0.400000005960464,0.400000005960464,33.5,32.5,0.400000005960464
1600,0,0.733333349227905,0.733333349227905,0.733333349227905,0.733333349227905,24.5,29.8333333432674,0.733333349227905
1700,0,0.700000017881393,0.700000017881393,0.700000017881393,0.700000017881393,7.5,71.0000000149012,0.700000017881393
1800,0,0.900000020861626,0.900000020861626,0.900000020861626,4.23333339393139,9.33333337306976,56.8333333879709,0.900000020861626
1900,0,1.50000004470348,1.50000004470348,1.50000004470348,1.50000004470348,0,77.5000000447035,1.50000004470348
2000,0,0.500000014901161,0.500000014901161,0.500000014901161,0.500000014901161,1,96.5000000149012,0.500000014901161
2100,0,0.16666667163372,0.16666667163372,0.16666667163372,0.66666667163372,1,97.6666666716337,0.16666667163372
2200,0,0,0,0,1,1.5,97.5,0
2300,0,0.16666667163372,0.16666667163372,0.16666667163372,0.16666667163372,9.5,89.6666666716337,0.16666667163372
2400,0,0.16666667163372,0.16666667163372,0.16666667163372,0.16666667163372,7.5,91.6666666716337,0.16666667163372
2500,0,0.142857149243355,0.142857149243355,0.142857149243355,0.142857149243355,17.1428571492434,82.1428571492434,0.142857149243355
2600,0,0,0,0,2.33333334326744,25.3333333432674,72.3333333432674,0
2700,0,0,0,0,1.16666668653488,46.6666666865349,52.1666666865349,0
2800,0,0,0,0,5.83333334326744,41.3333333432674,50.8333333432674,0
2900,0,1.27619050443172,1.27619050443172,1.27619050443172,1.27619050443172,42.6428571492434,39.9761904925108,1.27619050443172
3000,0,3.28333339095116,0.366666674613953,3.28333339095116,3.28333339095116,64.6666666716337,18.75,0.366666674613953
3100,0,9.15000008046627,0.816666677594185,2.65000005066395,2.03333337605,50.0000000447035,24.5333333611488,0.816666677594185
3200,0,11.6500000953674,1.98333334922791,6.15000006556511,6.53333337605,49.53333337605,16.1666667163372,1.98333334922791
3300,0,9.6000000834465,2.35000002384186,6.51666674017906,3.50000002980232,54.8500000685453,19.8333333432674,2.35000002384186
3400,0,2.81666669249535,0.650000005960464,2.48333334922791,0,41.8666666895151,47.5333333462477,0.650000005960464
3500,0,3.61666668951511,0.200000002980232,1.11666668951511,0,28.4500000029802,64.6166666895151,0
3600,0,0.700000017881393,0.366666674613953,0.366666674613953,1.5,20.5000000149012,74.2000000178814,0.366666674613953
3700,0,8.16666668653488,0,0.5,0,44.6666666865349,44.6666666865349,0
3800,0,0.833333343267441,0,0,0,33.8333333432674,65.3333333432674,0
3900,0,0,0,0,0,23,77,0
4000,0,1,0,0,0,23.5,75.5,0
4100,0,0,0,0,0,23,77,0
4200,0,1.33333334326744,0,0,0,52.8333333432674,45.8333333432674,0
4300,0,0.5,0,0,0,86.5,13,0
4400,0,0.16666667163372,0.16666667163372,0.16666667163372,0,74.6666666716337,24.6666666716337,0.16666667163372
4500,0,0,0,0,0,50,50,0
4600,0,0,0,0,0,79.5,20.5,0
4700,0,22.3333334922791,22.3333334922791,22.3333334922791,0.366666674613953,7.63333348929882,2.66666674613953,22.3333334922791
4800,0,3.80000002682209,3.80000002682209,3.80000002682209,3,43.8000000268221,3.00000001490116,3.80000002682209
4900,0,3.98333334922791,3.98333334922791,3.98333334922791,3.5,40.7333333492279,7.83333334326744,3.98333334922791
5000,0,3.28333336114883,3.28333336114883,3.28333336114883,14.7000000029802,35.3333333581686,5.83333334326744,3.28333336114883
5100,0,0.200000002980232,0.200000002980232,0.200000002980232,16.3333333432674,28.8333333432674,28.0333333462477,0.200000002980232
5200,0,0.850000008940697,0.850000008940697,0.850000008940697,9,17.2000000029802,44.4000000059605,0.850000008940697
5300,0,0.700000002980232,0.700000002980232,0.700000002980232,14.2000000029802,14,52,0.700000002980232
