Position in alignment,BHV5 - BHV5,BHV5 - C33,BHV5 - C46,BHV5 - Titanium_IBR_MLV_vaccine,BHV5 - SP1777,BHV5 - K22,BHV5 - B589,BHV5 - Cooper
20,0,19.6857146024704,19.6857146024704,19.6857146024704,1.28571432828903,19.6857146024704,0.28571429848671,19.6857146024704
40,0.666666686534882,19.7000003159046,19.7000003159046,19.7000003159046,0.833333358168602,19.7000003159046,0,19.7000003159046
60,0,23.0761905908585,23.0761905908585,23.0761905908585,0.476190492510796,7.07619059085846,0.142857149243355,23.0761905908585
80,0,24.4000000357628,24.4000000357628,24.4000000357628,0,2.40000003576279,0,24.4000000357628
100,0,24.2428571879864,24.2428571879864,24.2428571879864,0.142857149243355,2.74285718798637,0.142857149243355,24.2428571879864
120,0,24.2000000476837,24.2000000476837,24.2000000476837,0,3.20000004768372,0,24.2000000476837
140,0,24.2333333790302,24.2333333790302,24.2333333790302,0.333333343267441,2.73333337903023,0,24.2333333790302
160,0,24.7000000178814,24.7000000178814,24.7000000178814,0,1.20000001788139,0,24.7000000178814
180,0,24.9500000029802,24.9500000029802,24.9500000029802,0,0.200000002980232,0,24.9500000029802
200,0,24.9000000059605,24.9000000059605,24.9000000059605,0,0.400000005960464,0,24.9000000059605
220,0,25,25,25,0,0,0,25
240,0,25,25,25,0,0,0,25
260,0,24.9500000029802,24.9500000029802,24.9500000029802,0.200000002980232,0,0,24.9500000029802
280,0,24.9000000059605,24.9000000059605,24.9000000059605,0,0.400000005960464,0,24.9000000059605
300,0,25,25,25,0,0,0,25
320,0,24.8500000089407,24.8500000089407,24.8500000089407,0.200000002980232,0,0.400000005960464,24.8500000089407
340,0,24.9166666716337,24.9166666716337,24.9166666716337,0,0.16666667163372,0.16666667163372,24.9166666716337
360,0,24.866666674614,24.866666674614,24.866666674614,0,0.366666674613953,0.16666667163372,24.866666674614
380,0,23.8333334028721,23.8333334028721,23.8333334028721,0.833333358168602,0.500000014901161,3.33333340287209,23.8333334028721
400,0,23.9095238745213,23.9095238745213,23.9095238745213,0.309523820877075,0.642857164144516,3.40952387452126,23.9095238745213
420,0,23.8500000685453,23.8500000685453,23.8500000685453,0.333333343267441,0.666666686534882,3.60000006854534,23.8500000685453
440,0,24.2666667103767,24.2666667103767,24.2666667103767,0.16666667163372,0,2.76666671037674,24.2666667103767
460,0,22.6952382326126,22.6952382326126,22.6952382326126,1.26190480589867,0.761904790997505,7.19523823261261,22.6952382326126
480,0,22.1880954056978,22.1880954056978,22.1880954056978,0.90476194024086,2.9047619998455,7.43809540569782,22.1880954056978
500,0,22.2166668325663,22.2166668325663,22.2166668325663,1.66666673123837,3.00000010430813,6.46666683256626,22.2166668325663
520,0,17.9952385127544,17.9952385127544,17.9952385127544,3.42857155203819,6.59523831307888,17.9952385127544,17.9952385127544
540,0,18.3428575396538,18.3428575396538,18.3428575396538,1.97619055211544,6.30952401459217,18.3428575396538,18.3428575396538
560,0,17.8952385187149,17.8952385187149,17.8952385187149,2.76190486550331,7.76190501451492,17.8952385187149,17.8952385187149
580,0,18.2428575456142,18.2428575456142,18.2428575456142,1.97619055211544,6.80952402949333,18.2428575456142,18.2428575456142
600,0,14.2857149243355,14.2857149243355,14.2857149243355,14.2857149243355,14.2857149243355,14.2857149243355,14.2857149243355
620,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
640,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
660,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
680,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
700,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
720,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
740,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
760,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
780,16.6250001639128,16.6250001639128,16.6250001639128,16.6250001639128,5.625,5.625,5.625,16.6250001639128
800,0.925000011920929,21.032143086195,21.032143086195,21.032143086195,4.98214307427406,4.98214307427406,4.98214307427406,21.032143086195
820,0,23.6071429401636,23.6071429401636,23.6071429401636,1.85714294016361,1.85714294016361,1.85714294016361,23.6071429401636
840,0,24.4642857462168,24.4642857462168,24.4642857462168,0.714285746216774,0.714285746216774,0.714285746216774,24.4642857462168
860,0,24.1428571939468,24.1428571939468,24.1428571939468,1.14285719394684,1.14285719394684,1.14285719394684,24.1428571939468
880,0,24.1785714775324,24.1785714775324,24.1785714775324,0.428571447730064,1.42857147753239,1.42857147753239,24.1785714775324
900,0,24.5952381193638,24.5952381193638,24.5952381193638,0.428571447730064,0.595238119363785,0.595238119363785,24.5952381193638
920,0,24.1309524327517,24.1309524327517,24.1309524327517,0.880952417850494,1.21428576111794,1.38095243275166,24.1309524327517
940,0,24.866666674614,24.866666674614,24.866666674614,0,0.16666667163372,0.366666674613953,24.866666674614
960,0,24.7261904925108,24.7261904925108,24.7261904925108,0.476190492510796,0.142857149243355,0.476190492510796,24.7261904925108
980,0,25,25,25,0,0,0,25
1000,0,24.8928571492434,24.8928571492434,24.8928571492434,0.142857149243355,0.142857149243355,0.142857149243355,24.8928571492434
1020,0,24.8428571522236,24.8428571522236,24.8428571522236,0.142857149243355,0.142857149243355,0.342857152223587,24.8428571522236
1040,0,25,25,25,0,0,0,25
1060,0,24.7595238238573,24.7595238238573,24.7595238238573,0.309523820877075,0.142857149243355,0.509523823857307,24.7595238238573
1080,0,24.7500000149012,24.7500000149012,24.7500000149012,0.16666667163372,0.333333343267441,0.500000014901161,24.7500000149012
1100,0,24.8166666775942,24.8166666775942,24.8166666775942,0.16666667163372,0.400000005960464,0.16666667163372,24.8166666775942
1120,0,24.866666674614,24.866666674614,24.866666674614,0.16666667163372,0.366666674613953,0,24.866666674614
1140,0,24.9500000029802,24.9500000029802,24.9500000029802,0.200000002980232,0,0,24.9500000029802
1160,0,24.6833333522081,24.6833333522081,24.6833333522081,0.366666674613953,0.566666677594185,0.333333343267441,24.6833333522081
1180,0,23.9261905401945,23.9261905401945,23.9261905401945,2.67619054019451,0.809523835778236,0.809523835778236,23.9261905401945
