Position in alignment,BHV5 - BHV5,BHV5 - C33,BHV5 - C46,BHV5 - Titanium_IBR_MLV_vaccine,BHV5 - 216_II,BHV5 - SP1777,BHV5 - K22,BHV5 - B589
100,0,24.9500000029802,24.9500000029802,24.9500000029802,24.9500000029802,0,0.200000002980232,0
200,0,25,25,25,25,0,0,0
300,0,25,25,25,25,0,0,0
400,0,25,25,25,25,0,0,0
500,0,25,25,25,25,0,0,0
600,0,25,25,25,25,0,0,0
700,0,25,25,25,25,0,0,0
800,0,24.9000000059605,24.9000000059605,24.9000000059605,24.9000000059605,0,0,0.400000005960464
900,0,25,25,25,25,0,0,0
1000,0,25,25,25,25,0,0,0
1100,0,24.9500000029802,24.9500000029802,24.9500000029802,24.9500000029802,0,0.200000002980232,0
1200,0,25,25,25,25,0,0,0
1300,0,24.9500000029802,24.9500000029802,24.9500000029802,24.9500000029802,0,0.200000002980232,0
1400,0,25,25,25,25,0,0,0
1500,0,24.8500000089407,24.8500000089407,24.8500000089407,24.8500000089407,0.400000005960464,0.200000002980232,0
1600,0,24.6000000238419,24.6000000238419,24.6000000238419,24.6000000238419,0.733333349227905,0.366666674613953,0.500000014901161
1700,0,24.6000000238419,24.6000000238419,24.6000000238419,24.6000000238419,0.700000017881393,0,0.900000020861626
1800,0,24.5500000268221,24.5500000268221,24.5500000268221,24.5500000268221,0.900000020861626,0,0.900000020861626
1900,0,23.9000000655651,23.9000000655651,23.9000000655651,23.9000000655651,1.50000004470348,0,2.90000006556511
2000,0,24.7500000149012,24.7500000149012,24.7500000149012,24.7500000149012,0.500000014901161,0,0.500000014901161
2100,0,29.4166672080755,29.4166672080755,29.4166672080755,11.4166666716337,0.16666667163372,0,0.16666667163372
2200,0,30.0000005960464,30.0000005960464,30.0000005960464,10,0,0,0
2300,0,29.8333339244127,29.8333339244127,29.8333339244127,10.1666666716337,0.16666667163372,0,0.16666667163372
2400,0,30.1666672974825,30.1666672974825,30.1666672974825,9.16666667163372,0.16666667163372,0,0.16666667163372
2500,0,30.2261911183596,30.2261911183596,30.2261911183596,8.89285714924335,0.142857149243355,0.142857149243355,0.142857149243355
2600,0,30.2500006258488,30.2500006258488,30.2500006258488,9.25,0,0,0
2700,0,29.7500005662441,29.7500005662441,29.7500005662441,10.75,0,0,0
2800,0,30.8333340287209,30.8333340287209,30.8333340287209,7.5,0,0,0
