P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
C33	C46	Titanium	-7.2992136590943835	0.9999999999998541	0.47058823529411764	132352.5	85.5	9.0	0.0	0.0	1.0	9.0	0.0	1.0	43.0	0.0	0.0	0.0	0.0	0.0
C33	Titanium	C46	-0.8110237398993756	0.7913240385893683	1.1428571428571428	132352.5	9.0	85.5	0.0	0.0	1.0	1.0	0.0	9.0	43.0	0.0	0.0	0.0	0.0	0.0
C46	C33	Titanium	0.9124017073867973	0.18077862100546027	0.09999999999999999	132352.5	85.5	1.0	9.0	0.0	9.0	0.0	0.0	1.0	43.0	0.0	0.0	0.0	0.0	0.0
C33	C46	216_II	0.9311749076681926	0.1758815304364182	0.9444444444444444	131116.0	1266.0	7.0	1.0	0.0	9.0	0.0	0.0	17.0	23.0	0.0	0.0	0.0	0.0	0.0
C33	216_II	C46	-14.89879852269109	1.0	0.5151515151515151	131116.0	7.0	1266.0	1.0	0.0	9.0	17.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0
C46	C33	216_II	-0.8763999130994755	0.8095937049791351	1.0666666666666667	131116.0	1266.0	9.0	0.0	0.0	7.0	1.0	0.0	17.0	23.0	0.0	0.0	0.0	0.0	0.0
C33	C46	SP1777	-1.1796598865501347	0.8809321809389008	1.1333333333333333	130929.0	1353.0	9.0	0.0	0.0	9.0	2.0	0.0	19.0	21.0	0.0	0.0	0.0	0.0	0.0
C33	SP1777	C46	-11.20676892222628	1.0	0.4722222222222222	130929.0	9.0	1353.0	0.0	0.0	9.0	19.0	0.0	2.0	21.0	0.0	0.0	0.0	0.0	0.0
C46	C33	SP1777	1.3184434026148566	0.09367769630490941	0.9047619047619048	130929.0	1353.0	9.0	2.0	0.0	9.0	0.0	0.0	19.0	21.0	0.0	0.0	0.0	0.0	0.0
C33	C46	K22	-0.9042232603925214	0.8170615133109427	2.6666666666666665	113630.0	15418.0	5.0	3.0	1.0	1.0	8.0	0.0	16.0	23.0	2.0	0.0	0.0	0.0	0.0
